Phase,Priority,Task,Description,Owner,Status,Notes
2 - Page Creation,P0 - Critical,Create Admin Dashboard Page,"Build GHL page at /tattoo-admin — add Custom Code element with admin loader from ghl-loaders.html",Internal,Not Started,"Admin CRUD dashboard — add/edit/delete designs, drag & drop image upload"
2 - Page Creation,P1 - High,Create Booking Confirmation Page,"Build GHL page for thank-you/confirmation — add Custom Code element with design card loader",Internal,Not Started,"Displays selected design using custom value: 05._online_design_id"
2 - Page Creation,P2 - Medium,Create Marketing Calculator Page (Optional),"Build GHL page at /marketing-calculator — add Custom Code element with marketing-calculator.html",Internal,Not Started,Interactive lead-gen tool for estimating marketing spend
3 - Design Content,P0 - Critical,Set Up Categories in Supabase,"Seed the categories table with relevant style types (Traditional / Realism / Watercolor / Japanese / etc.) and subject types (Animals / Skulls / Flowers / etc.)",Internal,Not Started,"Categories are shared across locations; check if they already exist before adding duplicates"
3 - Design Content,P0 - Critical,Collect Client's Flash Sheets / Design Images,"Gather all tattoo design images from the client — flash sheets or individual designs",Client,Not Started,"JPG/PNG format, min 400px wide, max 10MB per image"
3 - Design Content,P0 - Critical,Process Flash Sheets (if applicable),"Use cut_flash.py to crop individual designs from composite flash sheet images",Internal,Not Started,"Define crop coordinates as percentages, outputs to /cut directory"
3 - Design Content,P0 - Critical,Upload Initial Designs — Bulk,"Use upload_designs.py for large batches OR use the Admin Dashboard for smaller sets",Internal,Not Started,"Each design needs: name, image, category/style, size estimate, body part, price range"
3 - Design Content,P1 - High,Set Featured Designs,"Mark 6-12 standout designs as 'featured' via the Admin Dashboard for homepage/category highlights",Internal,Not Started,Featured designs appear prominently in categories and gallery filters
3 - Design Content,P1 - High,Set Pricing on All Designs,"Ensure every design has a price or price range set (used in gallery filters)",Internal,Not Started,"Options: exact price, price range, or 'Consultation Required'"
3 - Design Content,P1 - High,Set Size Estimates on All Designs,"Assign size category to each design: Small / Medium / Large / Extra Large",Internal,Not Started,Used for gallery size filter
3 - Design Content,P2 - Medium,Upload Line Sheets / Technical Drawings,"Add optional line art versions as supplementary images for artist reference",Client/Internal,Not Started,Optional but helpful for artists
4 - FAQ Setup,P1 - High,Write FAQ Content (55 Questions),"Create Q&A content across 9 categories: Getting Started / Design Selection / Booking / Pricing / Preparation / Pain & Discomfort / Aftercare / Touch-Ups / Safety & Hygiene",Client/Internal,Not Started,"~6 questions per category, 55 total"
4 - FAQ Setup,P1 - High,Enter FAQ Custom Values in GHL,"Populate all 55 Q&A pairs as GHL custom values: 02__faq_1q through 02__faq_55a",Internal,Not Started,"Pattern: 02__faq_Nq = question, 02__faq_Na = answer"
4 - FAQ Setup,P1 - High,Create 9 FAQ Pages in GHL,"Build pages faq-page-1 through faq-page-9, each with FAQ accordion element + faq-admin-header.html navigation + faq-schema.js for SEO",Internal,Not Started,Each page covers one FAQ category
4 - FAQ Setup,P2 - Medium,Verify FAQ Schema Markup,"Test JSON-LD structured data output with Google's Rich Results Test tool",Internal,Not Started,Ensures FAQ rich snippets appear in Google search results
5 - Testing & QA,P0 - Critical,Test Gallery with Location ID,"Verify designs load correctly filtered by location, search works, filters work",Internal,Not Started,"Test all filters: size, price, featured, category"
5 - Testing & QA,P0 - Critical,Test Admin Dashboard CRUD,"Create a test design / edit it / delete it — verify full lifecycle works",Internal,Not Started,"Test: image upload, multi-tab form, save, edit, delete, mark taken"
5 - Testing & QA,P0 - Critical,Test Booking Flow End-to-End,"Click booking button in gallery → form → confirmation page with design card",Internal,Not Started,Verify design ID passes through to thank-you page
5 - Testing & QA,P1 - High,Test Mobile Responsiveness,"Check all pages on mobile (380px+) and tablet (480px-1000px) breakpoints",Internal,Not Started,"Gallery, categories, admin, FAQ pages, design card"
5 - Testing & QA,P1 - High,Verify Watermark Protection,"Confirm watermark overlay (logo tiles + text) appears on all gallery design previews",Internal,Not Started,Should prevent casual right-click downloading
5 - Testing & QA,P1 - High,Test Category Navigation,"Click through all categories — verify correct designs show, counts match, back navigation works",Internal,Not Started,Categories page → Gallery filtered by category
5 - Testing & QA,P1 - High,Test FAQ Navigation Header,"Verify faq-admin-header.html links navigate correctly across all 9 FAQ pages",Internal,Not Started,Each page should highlight the active category
5 - Testing & QA,P2 - Medium,Cross-Browser Testing,"Test in Chrome / Safari / Firefox / Edge on both desktop and mobile",Internal,Not Started,Focus on gallery modal and image rendering
6 - Client Training,P0 - Critical,Admin Dashboard Training,"Walk client through: adding designs / editing details / uploading images / marking as taken / deleting",Client/Internal,Not Started,Record a Loom video for future reference
6 - Client Training,P1 - High,Design Management Best Practices,"Train on: image requirements (JPG/PNG min 400px max 10MB) / naming conventions / categorization / pricing",Client/Internal,Not Started,Provide a one-pager reference doc
6 - Client Training,P1 - High,FAQ Content Updates,"Show client how to update FAQ custom values in GHL when answers change",Client/Internal,Not Started,Changes to custom values reflect immediately
6 - Client Training,P2 - Medium,Gallery Analytics Overview,"Show client how to monitor gallery engagement / popular designs / booking conversions",Client/Internal,Not Started,Review GHL analytics dashboard
7 - Go-Live,P0 - Critical,Final Content Review,"Client approves all designs / descriptions / pricing / FAQ content before go-live",Client,Not Started,Get written sign-off
7 - Go-Live,P0 - Critical,DNS / URL Verification,"Confirm all page URLs resolve correctly and custom domain is properly configured",Internal,Not Started,"Test: categories, gallery, admin, FAQ, confirmation pages"
7 - Go-Live,P1 - High,Enable Booking Automations,"Set up GHL workflows for: booking confirmation SMS/email, design selection notification to artist",Internal,Not Started,Triggers on form submission with design ID
7 - Go-Live,P1 - High,Submit FAQ Pages for Google Indexing,"Request indexing via Google Search Console for all FAQ pages with schema markup",Internal,Not Started,Rich snippets may take 24-48 hours to appear
7 - Go-Live,P2 - Medium,Monitor First Week,"Check for errors in console / broken images / failed API calls during first week after launch",Internal,Not Started,Set up a check-in call for day 3 and day 7
